,0,1,2,3,4
187,90.0,500,-41,-41,-41
188,90.0,500,-41,-41,-39
189,90.0,500,-41,-41,-39
190,90.0,500,-41,-41,-41
191,90.0,500,-41,-43,-41
192,90.0,500,-43,-43,-39
193,90.0,500,-43,-43,-41
194,90.0,500,-43,-43,-39
195,90.0,500,-45,-41,-39
196,90.0,500,-43,-41,-41
197,90.0,500,-43,-43,-39
198,90.0,500,-43,-43,-39
199,90.0,500,-43,-43,-39
200,0.0,375,-47,-47,-55
201,0.0,375,-47,-49,-53
202,0.0,375,-47,-47,-53
203,0.0,375,-47,-49,-53
204,0.0,375,-47,-47,-55
205,0.0,375,-47,-49,-51
206,0.0,375,-47,-47,-53
207,0.0,375,-47,-49,-53
208,0.0,375,-47,-51,-53
209,0.0,375,-47,-51,-53
210,0.0,375,-47,-49,-53
211,0.0,375,-47,-49,-53
212,0.0,375,-47,-49,-55
213,0.0,375,-45,-49,-53
214,0.0,375,-47,-49,-53
215,0.0,375,-47,-47,-53
216,0.0,375,-47,-49,-53
217,0.0,375,-47,-49,-53
218,0.0,375,-47,-49,-53
219,0.0,375,-47,-49,-53
220,0.0,375,-49,-49,-53
221,0.0,375,-49,-49,-53
222,0.0,375,-49,-49,-55
223,0.0,375,-49,-49,-55
224,0.0,375,-47,-47,-53
225,0.0,375,-47,-47,-53
226,0.0,375,-47,-47,-55
227,0.0,375,-47,-47,-55
228,0.0,375,-47,-47,-55
229,0.0,375,-47,-47,-55
230,0.0,375,-47,-49,-53
231,0.0,375,-47,-45,-55
232,0.0,375,-47,-45,-55
233,0.0,375,-47,-47,-53
234,0.0,375,-47,-47,-53
235,0.0,375,-49,-47,-53
236,0.0,375,-49,-47,-53
237,0.0,375,-49,-47,-53
238,0.0,375,-47,-47,-53
239,0.0,375,-47,-45,-53
240,0.0,375,-45,-49,-55
241,0.0,375,-49,-49,-55
242,0.0,375,-47,-49,-49
243,0.0,375,-49,-49,-49
244,0.0,375,-47,-51,-53
245,0.0,375,-47,-51,-53
246,0.0,375,-47,-47,-59
247,0.0,375,-49,-47,-51
248,0.0,375,-49,-49,-59
249,0.0,375,-47,-49,-57
250,0.0,375,-49,-49,-55
251,0.0,375,-47,-45,-47
252,0.0,375,-49,-41,-47
253,0.0,375,-47,-51,-47
254,0.0,375,-47,-51,-49
255,0.0,375,-49,-47,-55
256,0.0,375,-49,-49,-49
257,0.0,375,-43,-51,-49
258,0.0,375,-49,-51,-53
259,0.0,375,-49,-51,-53
260,0.0,375,-47,-53,-51
261,0.0,375,-47,-53,-51
262,0.0,375,-49,-49,-53
263,0.0,375,-45,-51,-55
264,0.0,375,-47,-47,-55
265,0.0,375,-49,-49,-55
266,0.0,375,-49,-49,-55
267,0.0,375,-49,-49,-55
268,0.0,375,-49,-49,-53
269,0.0,375,-49,-51,-53
270,0.0,375,-49,-51,-53
271,0.0,375,-47,-51,-53
272,0.0,375,-49,-51,-53
273,0.0,375,-47,-49,-53
274,0.0,375,-49,-49,-53
275,0.0,375,-47,-51,-47
