,0,1,2,3,4
0,0.0,500,-41,-45,-55
1,0.0,500,-41,-45,-57
2,0.0,500,-41,-43,-55
3,0.0,500,-45,-43,-57
4,0.0,500,-45,-43,-55
5,0.0,500,-47,-37,-43
6,0.0,500,-33,-39,-59
7,0.0,500,-45,-43,-59
8,0.0,500,-43,-43,-57
9,0.0,500,-35,-45,-43
10,0.0,500,-43,-47,-53
11,0.0,500,-43,-45,-55
12,0.0,500,-45,-47,-55
13,0.0,500,-47,-45,-55
14,0.0,500,-49,-47,-55
15,0.0,500,-47,-45,-55
16,0.0,500,-47,-45,-55
17,0.0,500,-47,-43,-55
18,0.0,500,-47,-45,-55
19,0.0,500,-45,-45,-55
20,0.0,500,-45,-47,-57
21,0.0,500,-47,-47,-55
22,0.0,500,-47,-45,-57
23,0.0,500,-47,-45,-55
24,0.0,500,-45,-43,-57
25,0.0,500,-45,-43,-61
26,0.0,500,-47,-45,-57
27,0.0,500,-43,-45,-57
28,0.0,500,-43,-45,-61
29,0.0,500,-41,-45,-63
30,0.0,500,-43,-47,-55
31,0.0,500,-47,-47,-55
32,0.0,500,-43,-43,-59
33,0.0,500,-47,-43,-59
34,0.0,500,-47,-45,-57
35,0.0,500,-45,-45,-55
36,0.0,500,-43,-45,-59
37,0.0,500,-45,-47,-51
38,0.0,500,-43,-45,-51
39,0.0,500,-45,-45,-55
40,0.0,500,-43,-45,-57
41,0.0,500,-43,-43,-55
42,0.0,500,-45,-43,-55
43,0.0,500,-43,-43,-53
44,0.0,500,-45,-45,-55
45,0.0,500,-43,-43,-55
46,0.0,500,-43,-45,-53
47,0.0,500,-43,-45,-51
48,0.0,500,-45,-47,-47
49,0.0,500,-45,-47,-53
50,0.0,500,-43,-47,-53
51,0.0,500,-43,-47,-57
52,0.0,500,-43,-45,-51
53,0.0,500,-45,-45,-49
54,0.0,500,-43,-47,-55
55,0.0,500,-45,-47,-57
56,0.0,500,-43,-47,-53
57,0.0,500,-43,-45,-55
58,0.0,500,-41,-47,-53
59,0.0,500,-41,-47,-55
60,0.0,500,-41,-47,-57
61,0.0,500,-41,-45,-51
62,0.0,500,-43,-45,-55
63,0.0,500,-43,-45,-55
64,0.0,500,-41,-43,-57
65,0.0,500,-41,-45,-57
66,0.0,500,-41,-45,-55
67,0.0,500,-43,-45,-55
68,0.0,500,-45,-45,-53
69,0.0,500,-43,-45,-55
70,0.0,500,-43,-45,-53
71,0.0,500,-43,-43,-53
72,0.0,500,-43,-43,-53
73,0.0,500,-45,-43,-53
74,0.0,500,-41,-45,-53
75,0.0,500,-43,-45,-53
76,0.0,500,-43,-47,-53
77,0.0,500,-43,-45,-55
78,0.0,500,-45,-45,-53
79,0.0,500,-45,-47,-55
80,0.0,500,-43,-47,-53
81,0.0,500,-43,-45,-53
82,0.0,500,-43,-45,-55
83,0.0,500,-43,-45,-53
84,0.0,500,-41,-47,-55
85,0.0,500,-43,-49,-55
86,0.0,500,-43,-49,-55
87,0.0,500,-41,-51,-59
88,0.0,500,-41,-51,-55
89,0.0,500,-41,-47,-55
90,0.0,500,-41,-47,-57
91,0.0,500,-41,-47,-55
92,0.0,500,-41,-47,-57
93,0.0,500,-41,-47,-57
94,0.0,500,-43,-47,-57
95,0.0,500,-41,-47,-55
96,0.0,500,-41,-45,-57
97,0.0,500,-41,-47,-57
98,0.0,500,-41,-45,-57
99,0.0,500,-41,-43,-55
100,0.0,500,-41,-45,-53
101,0.0,500,-41,-77,-55
102,0.0,500,-41,-47,-53
103,0.0,500,-43,-47,-55
104,0.0,500,-43,-47,-53
105,0.0,500,-41,-49,-51
106,0.0,500,-41,-47,-51
107,0.0,500,-41,-49,-55
108,0.0,500,-43,-49,-57
109,0.0,500,-43,-49,-53
110,0.0,500,-43,-49,-53
111,0.0,500,-43,-47,-55
112,0.0,500,-41,-49,-53
113,0.0,500,-35,-47,-41
114,0.0,500,-41,-47,-41
115,0.0,500,-41,-47,-53
116,0.0,500,-41,-47,-51
117,0.0,500,-43,-47,-55
118,0.0,500,-41,-47,-53
119,0.0,500,-41,-47,-51
120,0.0,500,-43,-49,-51
121,0.0,500,-41,-49,-53
122,0.0,500,-41,-47,-53
123,0.0,500,-41,-45,-55
124,0.0,500,-41,-45,-57
125,0.0,500,-43,-47,-55
126,0.0,500,-45,-47,-55
127,0.0,500,-43,-47,-53
128,0.0,500,-47,-47,-57
129,0.0,500,-45,-49,-55
130,0.0,500,-45,-45,-55
131,0.0,500,-45,-45,-55
132,0.0,500,-43,-47,-55
133,0.0,500,-43,-47,-55
134,0.0,500,-43,-47,-57
135,0.0,500,-45,-47,-59
136,0.0,500,-43,-45,-59
137,0.0,500,-43,-45,-55
138,0.0,500,-43,-45,-57
139,0.0,500,-43,-45,-57
140,0.0,500,-43,-47,-55
141,0.0,500,-43,-47,-55
142,0.0,500,-43,-47,-55
143,0.0,500,-43,-45,-55
144,0.0,500,-43,-45,-59
145,0.0,500,-41,-45,-57
146,0.0,500,-43,-49,-55
147,0.0,500,-43,-47,-55
148,0.0,500,-45,-47,-57
149,0.0,500,-45,-45,-55
150,0.0,500,-43,-45,-57
151,0.0,500,-43,-47,-55
152,0.0,500,-43,-47,-55
153,0.0,500,-45,-47,-55
154,0.0,500,-43,-47,-55
155,0.0,500,-43,-45,-57
156,0.0,500,-45,-45,-55
157,0.0,500,-45,-45,-53
158,0.0,500,-45,-45,-55
159,0.0,500,-47,-45,-53
160,0.0,500,-45,-47,-53
161,0.0,500,-45,-45,-55
162,0.0,500,-45,-45,-55
163,0.0,500,-45,-45,-53
164,0.0,500,-45,-45,-55
165,0.0,500,-43,-43,-53
166,0.0,500,-43,-45,-57
167,0.0,500,-43,-43,-55
168,0.0,500,-43,-45,-53
169,0.0,500,-43,-43,-53
170,0.0,500,-45,-43,-53
171,0.0,500,-43,-43,-53
172,0.0,500,-43,-45,-55
173,0.0,500,-45,-45,-53
174,0.0,500,-43,-45,-53
175,0.0,500,-45,-45,-53
176,0.0,500,-43,-45,-55
177,0.0,500,-43,-45,-53
178,0.0,500,-45,-45,-53
179,0.0,500,-43,-45,-55
180,0.0,500,-45,-45,-53
181,0.0,500,-43,-45,-53
182,0.0,500,-45,-45,-53
183,0.0,500,-45,-45,-53
184,0.0,500,-45,-43,-53
185,0.0,500,-45,-45,-53
186,0.0,500,-45,-45,-53
187,0.0,500,-45,-45,-51
188,0.0,500,-45,-45,-51
189,0.0,500,-45,-45,-51
190,0.0,500,-45,-45,-53
191,0.0,500,-45,-45,-51
192,0.0,500,-45,-45,-53
193,0.0,500,-43,-45,-51
194,0.0,500,-43,-45,-55
195,0.0,500,-43,-45,-53
196,0.0,500,-43,-45,-51
197,0.0,500,-43,-43,-53
198,0.0,500,-43,-45,-53
199,0.0,500,-43,-45,-53
200,0.0,500,-43,-43,-53
201,0.0,500,-43,-45,-53
202,0.0,500,-43,-45,-53
203,0.0,500,-43,-45,-55
204,0.0,500,-45,-45,-53
205,0.0,500,-43,-45,-55
206,0.0,500,-41,-45,-53
207,0.0,500,-45,-45,-55
208,0.0,500,-45,-45,-55
209,0.0,500,-45,-45,-55
210,0.0,500,-43,-43,-55
211,0.0,500,-43,-75,-53
212,0.0,500,-43,-45,-53
213,0.0,500,-43,-45,-53
214,0.0,500,-43,-43,-51
215,0.0,500,-41,-43,-53
216,0.0,500,-43,-43,-53
217,0.0,500,-43,-45,-53
218,0.0,500,-43,-45,-53
219,0.0,500,-43,-45,-53
220,0.0,500,-43,-45,-53
221,0.0,500,-41,-45,-53
222,0.0,500,-41,-45,-53
223,0.0,500,-43,-45,-51
224,0.0,500,-43,-43,-53
225,0.0,500,-43,-43,-53
226,0.0,500,-43,-45,-55
227,0.0,500,-43,-45,-55
228,0.0,500,-43,-45,-55
229,0.0,500,-43,-45,-53
230,0.0,500,-43,-45,-53
231,0.0,500,-45,-43,-53
232,0.0,500,-45,-45,-53
233,0.0,500,-47,-45,-53
234,0.0,500,-45,-45,-51
235,0.0,500,-45,-45,-53
236,0.0,500,-43,-45,-55
237,0.0,500,-45,-45,-53
238,0.0,500,-43,-43,-53
239,0.0,500,-43,-45,-51
240,0.0,500,-43,-45,-53
241,0.0,500,-43,-43,-55
242,0.0,500,-41,-43,-51
243,0.0,500,-41,-45,-53
244,0.0,500,-41,-45,-53
245,0.0,500,-41,-45,-53
246,0.0,500,-41,-45,-53
247,0.0,500,-43,-45,-53
248,0.0,500,-41,-47,-55
249,0.0,500,-39,-45,-53
250,90.0,500,-45,-41,-45
251,90.0,500,-47,-41,-47
252,90.0,500,-45,-39,-43
253,90.0,500,-45,-39,-45
254,90.0,500,-47,-39,-43
255,90.0,500,-45,-37,-45
256,90.0,500,-45,-37,-45
257,90.0,500,-45,-37,-43
258,90.0,500,-45,-37,-45
259,90.0,500,-43,-37,-47
260,90.0,500,-43,-39,-45
261,90.0,500,-43,-37,-45
262,90.0,500,-45,-39,-45
263,90.0,500,-45,-39,-45
264,90.0,500,-45,-39,-45
265,90.0,500,-45,-37,-45
266,90.0,500,-45,-39,-45
267,90.0,500,-45,-39,-45
268,90.0,500,-45,-39,-45
269,90.0,500,-45,-37,-45
270,90.0,500,-39,-37,-43
271,90.0,500,-47,-39,-47
272,90.0,500,-45,-39,-45
273,90.0,500,-47,-39,-45
274,90.0,500,-47,-39,-41
275,90.0,500,-45,-39,-45
276,90.0,500,-45,-39,-45
277,90.0,500,-47,-39,-45
278,90.0,500,-45,-39,-47
279,90.0,500,-45,-39,-47
280,90.0,500,-47,-39,-47
281,90.0,500,-47,-39,-45
282,90.0,500,-45,-41,-47
283,90.0,500,-45,-39,-47
284,90.0,500,-47,-39,-47
285,90.0,500,-47,-39,-45
286,90.0,500,-45,-39,-47
287,90.0,500,-47,-39,-47
288,90.0,500,-45,-39,-45
289,90.0,500,-45,-39,-45
290,90.0,500,-47,-39,-47
291,90.0,500,-45,-39,-47
292,90.0,500,-45,-39,-47
293,90.0,500,-45,-39,-45
294,90.0,500,-47,-39,-47
295,90.0,500,-37,-39,-45
296,90.0,500,-45,-39,-47
297,90.0,500,-47,-39,-47
298,90.0,500,-47,-39,-45
299,90.0,500,-47,-41,-47
300,90.0,500,-47,-41,-47
301,90.0,500,-47,-41,-47
302,90.0,500,-45,-39,-47
303,90.0,500,-47,-39,-47
304,90.0,500,-45,-39,-49
305,90.0,500,-45,-41,-47
306,90.0,500,-47,-41,-47
307,90.0,500,-47,-39,-47
308,90.0,500,-47,-39,-47
309,90.0,500,-47,-39,-47
310,90.0,500,-43,-39,-45
311,90.0,500,-43,-37,-45
312,90.0,500,-43,-37,-45
313,90.0,500,-47,-39,-45
314,90.0,500,-41,-41,-45
315,90.0,500,-49,-37,-47
316,90.0,500,-47,-37,-43
317,90.0,500,-45,-39,-43
318,90.0,500,-45,-39,-45
319,90.0,500,-41,-41,-41
320,90.0,500,-43,-39,-47
321,90.0,500,-47,-41,-41
322,90.0,500,-47,-41,-41
323,90.0,500,-43,-39,-45
324,90.0,500,-47,-43,-45
325,90.0,500,-51,-39,-49
326,90.0,500,-41,-41,-49
327,90.0,500,-43,-39,-47
328,90.0,500,-45,-41,-45
329,90.0,500,-47,-41,-45
330,90.0,500,-45,-37,-47
331,90.0,500,-45,-37,-45
332,90.0,500,-41,-39,-47
333,90.0,500,-43,-41,-47
334,90.0,500,-45,-39,-45
335,90.0,500,-43,-39,-43
336,90.0,500,-45,-41,-47
337,90.0,500,-47,-41,-43
338,90.0,500,-45,-39,-43
339,90.0,500,-45,-39,-43
340,90.0,500,-45,-39,-45
341,90.0,500,-41,-39,-45
342,90.0,500,-43,-41,-45
343,90.0,500,-45,-41,-43
344,90.0,500,-45,-39,-43
345,90.0,500,-47,-39,-43
346,90.0,500,-45,-41,-43
347,90.0,500,-45,-41,-43
348,90.0,500,-45,-39,-45
349,90.0,500,-47,-39,-45
350,90.0,500,-45,-41,-43
351,90.0,500,-47,-39,-45
352,90.0,500,-47,-39,-43
353,90.0,500,-47,-39,-43
354,90.0,500,-45,-39,-41
355,90.0,500,-45,-41,-43
356,90.0,500,-47,-39,-43
357,90.0,500,-49,-39,-45
358,90.0,500,-49,-39,-47
359,90.0,500,-47,-39,-43
360,90.0,500,-47,-39,-43
361,90.0,500,-49,-41,-43
362,90.0,500,-47,-39,-43
363,90.0,500,-47,-39,-43
364,90.0,500,-47,-39,-45
365,90.0,500,-47,-39,-45
366,90.0,500,-47,-39,-45
367,90.0,500,-45,-39,-45
368,90.0,500,-47,-39,-45
369,90.0,500,-47,-39,-47
370,90.0,500,-47,-39,-43
371,90.0,500,-49,-39,-43
372,90.0,500,-47,-39,-43
373,90.0,500,-49,-39,-43
374,90.0,500,-49,-39,-45
375,90.0,500,-49,-41,-47
376,90.0,500,-49,-39,-47
377,90.0,500,-47,-39,-47
378,90.0,500,-47,-39,-45
